time,language,CommitCommentEvent,CreateEvent,DeleteEvent,DownloadEvent,FollowEvent,ForkEvent,ForkApplyEvent,GistEvent,GollumEvent,IssueCommentEvent,IssuesEvent,MemberEvent,PublicEvent,PullRequestEvent,PullRequestReviewCommentEvent,PushEvent,TeamAddEvent,WatchEvent
2012-04-30-10,Smalltalk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2012-04-30-10,Emacs Lisp,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,22,0,2
2012-04-30-10,C#,2,8,0,2,0,5,0,0,4,6,3,0,0,2,0,45,0,9
2012-04-30-10,C++,28,14,3,3,0,5,0,0,2,32,14,0,1,4,1,156,0,14
2012-04-30-10,Dart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2012-04-30-10,Lua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1
2012-04-30-10,AutoHotkey,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
2012-04-30-10,ActionScript,0,0,1,0,0,1,0,0,0,1,0,0,0,2,0,10,0,4
2012-04-30-10,JavaScript,16,34,2,2,0,48,0,0,14,268,254,3,1,41,14,502,0,177
2012-04-30-10,DCPU-16 ASM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012-04-30-10,Eiffel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2012-04-30-10,Ada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2012-04-30-10,ASP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2012-04-30-10,Groovy,0,3,0,0,0,1,0,0,0,1,1,0,0,0,0,17,0,2
2012-04-30-10,Puppet,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0
2012-04-30-10,Objective-J,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2012-04-30-10,Delphi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2012-04-30-10,D,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0
2012-04-30-10,R,0,0,0,2,0,0,0,0,2,1,1,0,0,1,0,11,0,1
2012-04-30-10,Parrot,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2012-04-30-10,CoffeeScript,0,2,0,0,0,2,0,0,0,2,1,0,0,0,0,11,0,10
2012-04-30-10,Objective-C,0,6,1,0,0,2,0,0,3,19,11,1,1,4,0,41,0,31
