time,language,CommitCommentEvent,CreateEvent,DeleteEvent,DownloadEvent,FollowEvent,ForkEvent,ForkApplyEvent,GistEvent,GollumEvent,IssueCommentEvent,IssuesEvent,MemberEvent,PublicEvent,PullRequestEvent,PullRequestReviewCommentEvent,PushEvent,TeamAddEvent,WatchEvent
201212,Parrot,1,8,6,0,0,4,0,0,0,24,31,0,0,4,0,99,0,7
201212,Scilab,0,33,28,0,0,4,0,0,2,8,4,1,0,0,0,124,0,2
201212,Perl,394,3632,549,39,0,1493,0,0,872,2996,1968,76,21,1716,121,25324,0,2607
201212,Scala,423,2267,444,41,0,1192,0,0,581,4347,1363,84,35,1919,1365,16114,0,3276
201212,OCaml,25,466,90,40,0,91,0,0,58,454,183,14,3,345,7,4167,0,293
201212,Nemerle,0,2,0,6,0,7,0,0,0,5,15,0,0,0,0,50,0,12
201212,Objective-J,0,31,8,1,0,20,0,0,25,39,12,0,0,27,0,243,0,51
201212,FORTRAN,2,187,18,0,0,35,0,0,25,218,61,8,2,58,1,1315,0,44
201212,F#,5,124,11,2,0,86,0,0,37,354,135,2,1,104,0,1299,0,180
201212,Clojure,162,891,123,14,0,589,0,0,232,1224,753,20,13,635,181,7563,0,3085
201212,Erlang,68,888,127,11,0,787,0,0,78,1131,390,32,11,560,112,5274,0,1641
201212,Rust,63,135,42,0,0,73,0,0,118,701,306,4,0,223,9,1214,0,237
201212,ooc,7,7,1,0,0,3,0,0,1,1,2,1,1,2,0,299,0,12
201212,Boo,0,1,0,0,0,0,0,0,9,0,0,2,0,0,0,68,0,5
201212,ActionScript,92,426,51,16,0,711,0,0,262,666,369,48,22,138,6,5782,0,1279
201212,Nimrod,0,1,0,0,0,1,0,0,0,7,7,0,0,2,0,37,0,2
201212,Common Lisp,73,249,19,8,0,133,0,0,33,267,200,16,2,115,0,2436,0,366
201212,Racket,45,136,37,0,0,50,0,0,124,97,113,0,2,63,1,1754,0,84
201212,Vala,10,24,2,3,0,19,0,0,14,111,67,1,0,17,0,358,0,51
201212,Mirah,0,9,0,0,0,1,0,0,0,2,0,0,0,1,0,17,0,6
201212,Factor,0,4,0,0,0,1,0,0,0,44,15,0,0,0,0,74,0,8
201212,PowerShell,6,106,8,1,0,75,0,0,395,208,95,10,1,67,2,1030,0,147
201212,Lua,152,1009,116,75,0,617,0,0,589,1977,1457,50,12,808,69,11839,0,1029
